building,resolution,freq,start,end,n_files,dup_within_file,dup_across_files,missing_points,neg_points,zero_points
Commercial,1hour,1h,2016-01-01 00:00:00,2018-12-31 23:00:00,1096,0,384,2991,0,0
Commercial,30min,30min,2016-01-01 00:00:00,2018-12-31 23:30:00,1096,0,336,5546,0,1
Commercial,5min,5min,2016-01-01 00:00:00,2018-12-31 23:55:00,1096,0,2880,34180,0,6
Office,1hour,1h,2016-01-01 00:00:00,2018-12-31 23:00:00,1096,0,72,471,0,1
Office,30min,30min,2016-01-01 00:00:00,2018-12-31 23:30:00,1096,0,48,848,0,1
Office,5min,5min,2016-01-01 00:00:00,2018-12-31 23:55:00,1096,0,576,5382,0,1
Public,1hour,1h,2016-01-01 00:00:00,2018-12-31 23:00:00,1096,0,24,5258,0,0
Public,30min,30min,2016-01-01 00:00:00,2018-12-31 23:30:00,1096,0,144,10640,0,0
Public,5min,5min,2016-01-01 00:00:00,2018-12-31 23:55:00,1096,0,1440,64158,0,0
Residential,1hour,1h,2016-01-01 00:00:00,2018-12-31 23:00:00,1096,0,120,936,0,0
Residential,30min,30min,2016-01-01 00:00:00,2018-12-31 23:30:00,1096,0,480,2089,0,0
Residential,5min,5min,2016-01-01 00:00:00,2018-12-31 23:55:00,1096,0,3744,13295,0,0
